,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,constant_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes
874,4,clustering,Piecewise Linear Fit,1.098611173189898,0.040679831087596,0.0663117827707264,1.0,0.3964365256124721,,1.0098659214600971,0.3340097561871812,1.0073108823274628,0.3331646855895853,1.0062855435043614,0.3328255582232334,,,,,,,0.0813596621642217,-0.7416407256860627,0.4851390297509327,glioma_mibitof:CHOP_907_R4C6_whole_cell.tiff,1327,449
875,5,pagerank,Constant Fit,1.0986122371120697,0.0,-0.0,1.0,0.0,0.0022271714922048,0.996715159900959,0.3334829381896175,0.9961042490911656,0.3332785384372931,0.9959846519047764,0.3332385233730893,,,,,,,,,,glioma_mibitof:CHOP_907_R4C6_whole_cell.tiff,1327,449
876,0,degree,Piecewise Linear Fit,1.0986122690497724,0.0609395611458818,-0.0179153508674169,1.0,0.4871559633027523,,1.000413158576397,0.3334134744153213,1.0001769914575398,0.3333347656348882,0.9999279313985424,0.3332517599497904,,,,,,,0.1218791222987775,1.7377786182586934,5.805202535162961,glioma_mibitof:CHOP_907_R8C5_whole_cell.tiff,3246,1090
877,1,closeness,Exponential Saturation Fit,1.0985937778114017,0.018236159438511,0.0644160457066067,1.0,0.3532110091743119,,1.2660689191185484,0.3306583776167059,1.284856359900321,0.3355650810312373,1.278008160514774,0.3337765413520567,-0.0115623917105306,38.00949241894452,0.0955289549348113,,,,,,,glioma_mibitof:CHOP_907_R8C5_whole_cell.tiff,3246,1090
878,2,betweenness,Exponential Saturation Fit,1.098569541435522,0.0003115259873426,0.8802606808965028,1.0,0.0302752293577981,,1.669869358636357,0.3290086631362089,1.7050213674507464,0.3359345435152697,1.7005663841259329,0.3350567933485214,-0.1096921960033321,2225.005965866848,0.1171527523234233,,,,,,,glioma_mibitof:CHOP_907_R8C5_whole_cell.tiff,3246,1090
879,3,harmonic,Michaelis-Menten Fit,1.0985263164475052,0.0033837757843974,0.0816123899807253,1.0,0.3165137614678899,,1.193679271767325,0.3275708241652371,1.218157009729392,0.33428803287245,1.2321978745036817,0.3381411429623128,,,,-0.0195926975110304,0.0034330438732622,0.128893068224046,,,,glioma_mibitof:CHOP_907_R8C5_whole_cell.tiff,3246,1090
880,4,clustering,Piecewise Linear Fit,1.0986119494164035,0.0313725222443159,0.0464937590181397,1.0,0.3055045871559633,,1.0064676796320196,0.3336816292549783,1.0053403127669511,0.3333078650299397,1.004443402318779,0.3330105057150818,,,,,,,0.0627450444789821,-0.6502234309429978,0.4591494130911616,glioma_mibitof:CHOP_907_R8C5_whole_cell.tiff,3246,1090
881,5,pagerank,Constant Fit,1.0986122776970029,0.0,-0.0,1.0,0.0,0.0009174311926605,0.9986367831796196,0.3334016913118789,0.9983666472719764,0.333311504599343,0.9982926619292012,0.333286804088778,,,,,,,,,,glioma_mibitof:CHOP_907_R8C5_whole_cell.tiff,3246,1090
882,0,degree,Constant Fit,1.098612267400494,0.0,-0.0,1.0,0.0,5.908433734939759,0.9990281021846276,0.3334259488772648,0.9986886050610062,0.3333126416035886,0.9985351008353648,0.3332614095191465,,,,,,,,,,glioma_mibitof:CHOP_907_R5C10_whole_cell.tiff,1226,415
883,1,closeness,Michaelis-Menten Fit,1.0985711081614669,0.23180751365573,-0.0381808475251243,1.0,1.0,,1.0311235324017594,0.3290598048275274,1.0512100603133334,0.3354699668949661,1.0512108793671475,0.3354702282775064,,,,188350.0137850835,8376478.692202103,0.1313044730694904,,,,glioma_mibitof:CHOP_907_R5C10_whole_cell.tiff,1226,415
