,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,dataset,num_edges,num_nodes
3886,4,clustering,Exponential Saturation Fit,1.0986022516841345,0.0078051096169649,0.1554079752266299,1.0,0.1232275065880286,-0.2042789476209876,88.80684761343234,0.7593739153105161,1.1800220591157853,0.3342320402750343,1.181103000304636,0.3345382084319563,1.169422335571285,0.3312297512930093,,,,,,,,glioma_mibitof:CHOP_907_R99C1_whole_cell.tiff,90750,7969
3887,5,pagerank,Piecewise Linear Fit,1.0985587907956242,0.008092783848298,-0.1724492754211706,1.0,0.0642489647383611,,,,1.1107441127882858,0.3365420187806467,1.1053345751729136,0.3349029943745869,1.0843832181410895,0.3285549868447662,0.0161855683986483,0.0023054649818264,8.953431113447096e-05,,,,,glioma_mibitof:CHOP_907_R99C1_whole_cell.tiff,90750,7969
3888,0,degree,Michaelis-Menten Fit,1.0985883638210814,0.0069160090753068,-0.3245492105551034,1.0,0.4575601374570446,,,,1.0256898785547788,0.3300912619789783,1.039926559768353,0.3346729627117599,1.0416753827493668,0.3352357753092618,,,,,8.612168142992628,0.0071135904869304,8.835597750545876,glioma_mibitof:UCSF_TA5_R3C3_whole_cell.tiff,48117,5820
3889,1,closeness,Piecewise Linear Fit,1.0986117382215317,0.1941726572576288,-0.2391430878763965,0.999828178694158,0.9443203299536004,,,,2.122366451429615,0.3338264942175245,2.117876224024179,0.3331202274594976,2.117450581950337,0.3330532783229777,0.3883453151245527,0.0637368092914511,0.0393752705104993,,,,,glioma_mibitof:UCSF_TA5_R3C3_whole_cell.tiff,48117,5820
3890,2,betweenness,Piecewise Linear Fit,1.098612286982406,0.1773729604525485,-0.8673923193822728,1.0,0.9106529209621992,,,,1.1767855913124612,0.3333574710894094,1.1766972345248456,0.3333324415551505,1.17661832193879,0.3333100873554401,0.3547459229194171,0.0176112004698562,0.0004775616447475,,,,,glioma_mibitof:UCSF_TA5_R3C3_whole_cell.tiff,48117,5820
3891,3,harmonic,Exponential Saturation Fit,1.0985893465352596,0.1271513634718632,-0.2174243498329342,1.0,1.0,0.0337683632239606,4.743197436778621,0.0550452906268608,1.5185845234082564,0.3301447365292565,1.5410404210128152,0.3350267146370973,1.540128907095152,0.3348285488336462,,,,,,,,glioma_mibitof:UCSF_TA5_R3C3_whole_cell.tiff,48117,5820
3892,4,clustering,Piecewise Linear Fit,1.0986055888105228,0.0101116391905149,0.1224032696469749,1.0,0.0922680412371134,,,,1.0915295120954374,0.3344392142101197,1.0898572950169616,0.3339268552133936,1.0823737380539846,0.3316339305764866,0.0202232783807659,-7.659803432242484,0.7102235904231295,,,,,glioma_mibitof:UCSF_TA5_R3C3_whole_cell.tiff,48117,5820
3893,5,pagerank,Piecewise Linear Fit,1.0985935666960445,0.0068804013800206,-0.1620310920863752,1.0,0.0694158075601374,,,,1.0670506981498806,0.3351772414053791,1.0643548474942326,0.3343304327321195,1.052136074532119,0.3304923258625015,0.0137608031505272,0.0035240191275091,0.0001253953454182,,,,,glioma_mibitof:UCSF_TA5_R3C3_whole_cell.tiff,48117,5820
3894,0,degree,Michaelis-Menten Fit,1.098605072073311,0.0146171934243921,-0.2743379613338384,1.0,0.8348740835192859,,,,1.0360383652685778,0.3317612545251878,1.0410826635616437,0.333376544832968,1.0457221336461855,0.3348622006418441,,,,,4.03808011752897,0.0155314491503662,5.178686960456235,glioma_mibitof:UCSF_TA8_R3C2_whole_cell.tiff,13316,3137
3895,1,closeness,Piecewise Linear Fit,1.098611782253116,0.1919615679782099,-0.238294154032759,0.9993624481989162,0.948006379585327,,,,2.782492208349531,0.3337945622439586,2.7775283363355188,0.3331990840316637,2.775921747616004,0.3330063537243776,0.383923136646612,0.0556255380358734,0.0341320532216478,,,,,glioma_mibitof:UCSF_TA8_R3C2_whole_cell.tiff,13316,3137
