,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
pagerank,Piecewise Linear Fit,0.9999546534330055,0.018980140775863744,-0.06927590366073992,1.0,0.2082294264339152,1.1107842479768342,0.0379602824280746,0.004331648853939385,0.0011045653646829226,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,12030,802,,,,,,,
betweenness,Exponential Saturation Fit,0.9999999999992553,0.2392169433902357,-0.8380546296376377,1.0,1.0,1.2114509939627802,,,,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,12030,802,0.679437085862302,0.05937310956282044,0.0018515978695038955,,,,
closeness,Piecewise Linear Fit,0.9999968840152257,0.2032841630973749,-0.21058641812143375,1.0,0.9688279301745636,3.2826143830049435,0.40656832646969043,0.14787501569018013,0.11268668067960147,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,12030,802,,,,,,,
clustering,Exponential Saturation Fit,0.9999886909476001,0.02947870354297775,0.15510151100956887,1.0,0.4837905236907731,1.452317537302912,,,,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,12030,802,-0.20688704211001643,23.513082208997393,0.7703750445846026,,,,
degree,Piecewise Linear Fit,0.9999642454130837,0.03354915190909009,-0.09857658600816174,1.0,0.2685810810810811,1.1421167181657914,0.0670983038182615,82.52624547466158,25.317959143575592,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,8880,592,,,,,,,
pagerank,Piecewise Linear Fit,0.9999642826723928,0.03285924395482625,-0.07550752578464985,1.0,0.26013513513513514,1.1333844371855883,0.06571848969166208,0.0036878862571382066,0.001483707261941885,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,8880,592,,,,,,,
betweenness,Piecewise Linear Fit,0.9999722502657589,0.16265305767118377,-0.8150124712419843,1.0,0.8783783783783784,1.1849734639623155,0.32530611598956816,0.0502635704379841,0.0018556401154773933,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,8880,592,,,,,,,
closeness,Piecewise Linear Fit,0.9999759745737845,0.19027832041609688,-0.19885017644022124,1.0,0.9324324324324325,2.527606702787566,0.38055664106245485,0.16527195476199869,0.12669988882760166,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,8880,592,,,,,,,
clustering,Exponential Saturation Fit,0.9999801105533966,0.0294067222060886,0.17585947542594024,1.0,0.46283783783783783,1.4170716822882863,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,8880,592,-0.24939120165747103,23.57075316225574,0.8337523117639428,,,,
degree,Piecewise Linear Fit,0.9999256173017272,0.01633546299028161,-0.09873295739001431,1.0,0.17671517671517672,1.1414111969476979,0.0326709259805826,168.56416208894368,25.135529501830796,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,14430,962,,,,,,,
pagerank,Piecewise Linear Fit,0.9999268872885415,0.015990118153150122,-0.07526787374702854,1.0,0.17567567567567569,1.129398826621611,0.03198023699771803,0.004625313044547296,0.0009086551403265227,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,14430,962,,,,,,,
betweenness,Piecewise Linear Fit,0.9999999999998769,0.24705882222540848,-0.8055902811376631,1.0,0.998960498960499,1.1939842967971772,0.4941176458826893,0.034508498380645465,0.002057454184677596,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,14430,962,,,,,,,
